row_id,cluster,cluster_label
0,1,"New, Low-Spend - Elevated Risk"
1,3,"Loyal, Low-Spend - Lowest Risk"
2,3,"Loyal, Low-Spend - Lowest Risk"
3,0,"New, High-Spend - Highest Risk"
4,3,"Loyal, Low-Spend - Lowest Risk"
5,2,"Loyal, High-Spend - Low Risk"
6,0,"New, High-Spend - Highest Risk"
7,2,"Loyal, High-Spend - Low Risk"
8,2,"Loyal, High-Spend - Low Risk"
9,1,"New, Low-Spend - Elevated Risk"
10,1,"New, Low-Spend - Elevated Risk"
11,0,"New, High-Spend - Highest Risk"
12,1,"New, Low-Spend - Elevated Risk"
13,0,"New, High-Spend - Highest Risk"
14,1,"New, Low-Spend - Elevated Risk"
15,0,"New, High-Spend - Highest Risk"
16,1,"New, Low-Spend - Elevated Risk"
17,0,"New, High-Spend - Highest Risk"
18,2,"Loyal, High-Spend - Low Risk"
19,0,"New, High-Spend - Highest Risk"
20,0,"New, High-Spend - Highest Risk"
21,1,"New, Low-Spend - Elevated Risk"
22,2,"Loyal, High-Spend - Low Risk"
23,2,"Loyal, High-Spend - Low Risk"
24,2,"Loyal, High-Spend - Low Risk"
25,0,"New, High-Spend - Highest Risk"
26,2,"Loyal, High-Spend - Low Risk"
27,0,"New, High-Spend - Highest Risk"
28,0,"New, High-Spend - Highest Risk"
29,2,"Loyal, High-Spend - Low Risk"
30,2,"Loyal, High-Spend - Low Risk"
31,1,"New, Low-Spend - Elevated Risk"
32,2,"Loyal, High-Spend - Low Risk"
33,2,"Loyal, High-Spend - Low Risk"
34,2,"Loyal, High-Spend - Low Risk"
35,1,"New, Low-Spend - Elevated Risk"
36,3,"Loyal, Low-Spend - Lowest Risk"
37,0,"New, High-Spend - Highest Risk"
38,2,"Loyal, High-Spend - Low Risk"
39,2,"Loyal, High-Spend - Low Risk"
40,0,"New, High-Spend - Highest Risk"
41,2,"Loyal, High-Spend - Low Risk"
42,0,"New, High-Spend - Highest Risk"
43,1,"New, Low-Spend - Elevated Risk"
44,0,"New, High-Spend - Highest Risk"
45,3,"Loyal, Low-Spend - Lowest Risk"
46,0,"New, High-Spend - Highest Risk"
47,0,"New, High-Spend - Highest Risk"
48,0,"New, High-Spend - Highest Risk"
49,1,"New, Low-Spend - Elevated Risk"
50,1,"New, Low-Spend - Elevated Risk"
51,1,"New, Low-Spend - Elevated Risk"
52,2,"Loyal, High-Spend - Low Risk"
53,2,"Loyal, High-Spend - Low Risk"
54,2,"Loyal, High-Spend - Low Risk"
55,2,"Loyal, High-Spend - Low Risk"
56,2,"Loyal, High-Spend - Low Risk"
57,0,"New, High-Spend - Highest Risk"
58,1,"New, Low-Spend - Elevated Risk"
59,0,"New, High-Spend - Highest Risk"
60,0,"New, High-Spend - Highest Risk"
61,1,"New, Low-Spend - Elevated Risk"
62,1,"New, Low-Spend - Elevated Risk"
63,2,"Loyal, High-Spend - Low Risk"
64,0,"New, High-Spend - Highest Risk"
65,3,"Loyal, Low-Spend - Lowest Risk"
66,3,"Loyal, Low-Spend - Lowest Risk"
67,3,"Loyal, Low-Spend - Lowest Risk"
68,3,"Loyal, Low-Spend - Lowest Risk"
69,2,"Loyal, High-Spend - Low Risk"
70,0,"New, High-Spend - Highest Risk"
71,3,"Loyal, Low-Spend - Lowest Risk"
72,0,"New, High-Spend - Highest Risk"
73,0,"New, High-Spend - Highest Risk"
74,2,"Loyal, High-Spend - Low Risk"
75,1,"New, Low-Spend - Elevated Risk"
76,0,"New, High-Spend - Highest Risk"
77,2,"Loyal, High-Spend - Low Risk"
78,1,"New, Low-Spend - Elevated Risk"
79,1,"New, Low-Spend - Elevated Risk"
80,2,"Loyal, High-Spend - Low Risk"
81,0,"New, High-Spend - Highest Risk"
82,1,"New, Low-Spend - Elevated Risk"
83,1,"New, Low-Spend - Elevated Risk"
84,3,"Loyal, Low-Spend - Lowest Risk"
85,0,"New, High-Spend - Highest Risk"
86,2,"Loyal, High-Spend - Low Risk"
87,0,"New, High-Spend - Highest Risk"
88,3,"Loyal, Low-Spend - Lowest Risk"
89,3,"Loyal, Low-Spend - Lowest Risk"
90,1,"New, Low-Spend - Elevated Risk"
91,3,"Loyal, Low-Spend - Lowest Risk"
92,0,"New, High-Spend - Highest Risk"
93,2,"Loyal, High-Spend - Low Risk"
94,3,"Loyal, Low-Spend - Lowest Risk"
95,3,"Loyal, Low-Spend - Lowest Risk"
96,0,"New, High-Spend - Highest Risk"
97,1,"New, Low-Spend - Elevated Risk"
98,0,"New, High-Spend - Highest Risk"
99,2,"Loyal, High-Spend - Low Risk"
100,0,"New, High-Spend - Highest Risk"
101,0,"New, High-Spend - Highest Risk"
102,1,"New, Low-Spend - Elevated Risk"
103,1,"New, Low-Spend - Elevated Risk"
104,1,"New, Low-Spend - Elevated Risk"
105,0,"New, High-Spend - Highest Risk"
106,2,"Loyal, High-Spend - Low Risk"
107,3,"Loyal, Low-Spend - Lowest Risk"
108,0,"New, High-Spend - Highest Risk"
109,3,"Loyal, Low-Spend - Lowest Risk"
110,0,"New, High-Spend - Highest Risk"
111,3,"Loyal, Low-Spend - Lowest Risk"
112,1,"New, Low-Spend - Elevated Risk"
113,2,"Loyal, High-Spend - Low Risk"
114,3,"Loyal, Low-Spend - Lowest Risk"
115,3,"Loyal, Low-Spend - Lowest Risk"
116,2,"Loyal, High-Spend - Low Risk"
117,2,"Loyal, High-Spend - Low Risk"
118,1,"New, Low-Spend - Elevated Risk"
119,2,"Loyal, High-Spend - Low Risk"
120,2,"Loyal, High-Spend - Low Risk"
121,2,"Loyal, High-Spend - Low Risk"
122,1,"New, Low-Spend - Elevated Risk"
123,0,"New, High-Spend - Highest Risk"
124,3,"Loyal, Low-Spend - Lowest Risk"
125,1,"New, Low-Spend - Elevated Risk"
126,0,"New, High-Spend - Highest Risk"
127,0,"New, High-Spend - Highest Risk"
128,3,"Loyal, Low-Spend - Lowest Risk"
129,0,"New, High-Spend - Highest Risk"
130,2,"Loyal, High-Spend - Low Risk"
131,0,"New, High-Spend - Highest Risk"
132,0,"New, High-Spend - Highest Risk"
133,0,"New, High-Spend - Highest Risk"
134,1,"New, Low-Spend - Elevated Risk"
135,2,"Loyal, High-Spend - Low Risk"
136,0,"New, High-Spend - Highest Risk"
137,1,"New, Low-Spend - Elevated Risk"
138,1,"New, Low-Spend - Elevated Risk"
139,2,"Loyal, High-Spend - Low Risk"
140,2,"Loyal, High-Spend - Low Risk"
141,3,"Loyal, Low-Spend - Lowest Risk"
142,0,"New, High-Spend - Highest Risk"
143,0,"New, High-Spend - Highest Risk"
144,3,"Loyal, Low-Spend - Lowest Risk"
145,1,"New, Low-Spend - Elevated Risk"
146,0,"New, High-Spend - Highest Risk"
147,0,"New, High-Spend - Highest Risk"
148,3,"Loyal, Low-Spend - Lowest Risk"
149,3,"Loyal, Low-Spend - Lowest Risk"
150,3,"Loyal, Low-Spend - Lowest Risk"
151,2,"Loyal, High-Spend - Low Risk"
152,0,"New, High-Spend - Highest Risk"
153,0,"New, High-Spend - Highest Risk"
154,0,"New, High-Spend - Highest Risk"
155,2,"Loyal, High-Spend - Low Risk"
156,2,"Loyal, High-Spend - Low Risk"
157,0,"New, High-Spend - Highest Risk"
158,2,"Loyal, High-Spend - Low Risk"
159,2,"Loyal, High-Spend - Low Risk"
160,0,"New, High-Spend - Highest Risk"
161,0,"New, High-Spend - Highest Risk"
162,0,"New, High-Spend - Highest Risk"
163,2,"Loyal, High-Spend - Low Risk"
164,3,"Loyal, Low-Spend - Lowest Risk"
165,0,"New, High-Spend - Highest Risk"
166,1,"New, Low-Spend - Elevated Risk"
167,2,"Loyal, High-Spend - Low Risk"
168,2,"Loyal, High-Spend - Low Risk"
169,2,"Loyal, High-Spend - Low Risk"
170,3,"Loyal, Low-Spend - Lowest Risk"
171,1,"New, Low-Spend - Elevated Risk"
172,3,"Loyal, Low-Spend - Lowest Risk"
173,3,"Loyal, Low-Spend - Lowest Risk"
174,1,"New, Low-Spend - Elevated Risk"
175,0,"New, High-Spend - Highest Risk"
176,0,"New, High-Spend - Highest Risk"
177,2,"Loyal, High-Spend - Low Risk"
178,0,"New, High-Spend - Highest Risk"
179,1,"New, Low-Spend - Elevated Risk"
180,0,"New, High-Spend - Highest Risk"
181,3,"Loyal, Low-Spend - Lowest Risk"
182,0,"New, High-Spend - Highest Risk"
183,3,"Loyal, Low-Spend - Lowest Risk"
184,3,"Loyal, Low-Spend - Lowest Risk"
185,3,"Loyal, Low-Spend - Lowest Risk"
186,1,"New, Low-Spend - Elevated Risk"
187,0,"New, High-Spend - Highest Risk"
188,0,"New, High-Spend - Highest Risk"
189,3,"Loyal, Low-Spend - Lowest Risk"
190,1,"New, Low-Spend - Elevated Risk"
191,2,"Loyal, High-Spend - Low Risk"
192,2,"Loyal, High-Spend - Low Risk"
193,2,"Loyal, High-Spend - Low Risk"
194,2,"Loyal, High-Spend - Low Risk"
195,3,"Loyal, Low-Spend - Lowest Risk"
196,0,"New, High-Spend - Highest Risk"
197,3,"Loyal, Low-Spend - Lowest Risk"
198,2,"Loyal, High-Spend - Low Risk"
199,2,"Loyal, High-Spend - Low Risk"
200,0,"New, High-Spend - Highest Risk"
201,2,"Loyal, High-Spend - Low Risk"
202,2,"Loyal, High-Spend - Low Risk"
203,1,"New, Low-Spend - Elevated Risk"
204,1,"New, Low-Spend - Elevated Risk"
205,1,"New, Low-Spend - Elevated Risk"
206,2,"Loyal, High-Spend - Low Risk"
207,0,"New, High-Spend - Highest Risk"
208,0,"New, High-Spend - Highest Risk"
209,1,"New, Low-Spend - Elevated Risk"
210,3,"Loyal, Low-Spend - Lowest Risk"
211,1,"New, Low-Spend - Elevated Risk"
212,0,"New, High-Spend - Highest Risk"
213,1,"New, Low-Spend - Elevated Risk"
214,0,"New, High-Spend - Highest Risk"
215,1,"New, Low-Spend - Elevated Risk"
216,2,"Loyal, High-Spend - Low Risk"
217,1,"New, Low-Spend - Elevated Risk"
218,2,"Loyal, High-Spend - Low Risk"
219,3,"Loyal, Low-Spend - Lowest Risk"
220,0,"New, High-Spend - Highest Risk"
221,0,"New, High-Spend - Highest Risk"
222,3,"Loyal, Low-Spend - Lowest Risk"
223,3,"Loyal, Low-Spend - Lowest Risk"
224,3,"Loyal, Low-Spend - Lowest Risk"
225,2,"Loyal, High-Spend - Low Risk"
226,1,"New, Low-Spend - Elevated Risk"
227,2,"Loyal, High-Spend - Low Risk"
228,0,"New, High-Spend - Highest Risk"
229,0,"New, High-Spend - Highest Risk"
230,3,"Loyal, Low-Spend - Lowest Risk"
231,2,"Loyal, High-Spend - Low Risk"
232,0,"New, High-Spend - Highest Risk"
233,2,"Loyal, High-Spend - Low Risk"
234,0,"New, High-Spend - Highest Risk"
235,3,"Loyal, Low-Spend - Lowest Risk"
236,0,"New, High-Spend - Highest Risk"
237,0,"New, High-Spend - Highest Risk"
238,0,"New, High-Spend - Highest Risk"
239,3,"Loyal, Low-Spend - Lowest Risk"
240,2,"Loyal, High-Spend - Low Risk"
241,1,"New, Low-Spend - Elevated Risk"
242,1,"New, Low-Spend - Elevated Risk"
243,2,"Loyal, High-Spend - Low Risk"
244,2,"Loyal, High-Spend - Low Risk"
245,2,"Loyal, High-Spend - Low Risk"
246,0,"New, High-Spend - Highest Risk"
247,1,"New, Low-Spend - Elevated Risk"
248,1,"New, Low-Spend - Elevated Risk"
249,1,"New, Low-Spend - Elevated Risk"
250,0,"New, High-Spend - Highest Risk"
