row_id,gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,MonthlyCharges,Churn,Contract_Month-to-month,Contract_One year,Contract_Two year
0,0,0,0,1,0,0,0,25,1,1,0,0
1,1,0,0,41,1,0,0,25,0,0,1,0
2,0,0,1,52,1,0,0,19,0,1,0,0
3,0,0,0,1,1,0,0,76,1,0,1,0
4,1,0,0,67,1,0,1,51,0,1,0,0
5,0,1,0,68,1,1,1,90,1,1,0,0
6,0,0,1,23,1,1,1,77,0,1,0,0
7,1,0,1,72,1,0,0,72,0,1,0,0
8,1,0,0,70,1,1,1,104,1,1,0,0
9,1,0,0,1,1,0,0,19,1,0,1,0
10,1,0,0,1,1,0,0,20,0,1,0,0
11,1,0,1,34,1,0,0,84,0,0,0,1
12,1,1,1,28,1,1,1,51,0,0,1,0
13,0,1,0,18,1,1,1,85,1,1,0,0
14,0,0,0,15,1,0,1,20,0,1,0,0
15,0,1,0,11,1,1,1,95,1,0,0,1
16,1,0,0,11,1,0,0,54,1,0,1,0
17,1,0,1,1,1,1,1,70,1,0,0,1
18,0,0,1,37,1,0,0,89,0,1,0,0
19,1,0,1,22,1,0,1,89,1,1,0,0
20,0,0,0,1,1,0,0,70,0,1,0,0
21,0,0,1,1,1,0,0,19,0,0,1,0
22,1,0,1,46,1,0,0,80,0,1,0,0
23,0,0,0,51,1,1,0,107,0,0,0,1
24,0,0,0,41,1,0,0,104,0,1,0,0
25,0,0,0,5,1,0,0,68,1,1,0,0
26,0,0,0,45,1,1,1,89,1,1,0,0
27,1,0,1,29,1,0,0,60,0,1,0,0
28,0,1,0,15,1,1,0,92,0,0,0,1
29,1,0,0,72,0,0,0,64,0,1,0,0
30,1,0,0,50,1,1,1,104,0,0,0,1
31,1,0,1,27,1,0,1,21,0,1,0,0
32,1,0,0,72,1,0,0,85,0,0,1,0
33,0,0,1,51,1,0,0,70,0,1,0,0
34,0,0,0,60,1,0,0,94,0,1,0,0
35,1,0,0,17,1,1,1,19,0,0,0,1
36,0,0,0,72,1,0,1,21,0,1,0,0
37,0,0,0,33,1,0,1,104,1,1,0,0
38,0,1,1,66,1,1,1,105,0,1,0,0
39,0,0,1,69,1,1,1,104,1,1,0,0
40,1,0,0,5,1,0,0,70,1,0,1,0
41,0,0,0,57,1,1,0,101,0,0,0,1
42,0,1,0,8,1,0,0,76,1,0,1,0
43,0,0,0,14,1,1,0,51,0,0,0,1
44,1,0,0,25,1,1,0,95,1,1,0,0
45,0,0,1,52,1,1,1,20,0,1,0,0
46,0,1,0,7,1,0,0,76,1,1,0,0
47,1,0,0,13,1,0,1,80,1,1,0,0
48,0,1,0,15,1,1,0,90,1,0,0,1
49,1,0,0,22,1,1,0,55,1,0,0,1
50,0,0,0,19,1,1,1,20,0,1,0,0
51,1,0,1,23,0,0,1,30,0,1,0,0
52,0,0,0,72,1,1,0,114,0,1,0,0
53,1,1,0,72,1,1,1,98,0,1,0,0
54,0,0,1,59,1,0,0,97,0,0,1,0
55,0,0,1,70,1,1,1,75,0,1,0,0
56,1,0,1,70,1,1,1,101,0,0,1,0
57,1,0,1,9,1,1,1,103,0,0,1,0
58,0,0,0,3,1,1,0,25,0,0,0,1
59,1,1,0,17,1,1,1,102,0,0,0,1
60,0,0,1,28,1,1,1,70,0,1,0,0
61,0,0,0,10,1,1,1,54,0,1,0,0
62,1,0,1,11,1,0,0,21,0,0,0,1
63,1,1,0,72,1,0,0,103,0,0,1,0
64,1,0,0,8,1,1,1,70,1,1,0,0
65,1,1,0,69,1,0,0,20,0,1,0,0
66,0,0,1,39,1,1,1,20,0,0,1,0
67,1,0,1,67,0,0,0,51,0,0,0,1
68,1,0,0,39,1,0,0,20,0,0,0,1
69,1,0,1,54,1,0,1,66,0,1,0,0
70,0,0,0,1,1,0,0,74,1,1,0,0
71,0,0,1,72,0,0,0,60,0,0,1,0
72,1,0,0,10,1,1,1,99,1,0,0,1
73,1,0,1,13,1,1,0,97,1,0,0,1
74,0,0,0,35,1,0,0,99,0,1,0,0
75,1,0,1,12,0,1,1,36,0,0,1,0
76,1,0,0,31,1,0,0,91,0,0,1,0
77,0,0,1,53,1,0,0,108,0,1,0,0
78,1,0,0,1,1,0,0,20,0,1,0,0
79,1,0,0,30,1,1,0,20,0,0,1,0
80,0,0,0,46,1,0,1,75,0,1,0,0
81,0,0,0,19,1,0,0,90,1,1,0,0
82,0,0,0,23,1,0,1,54,0,1,0,0
83,0,1,0,15,1,0,1,55,1,1,0,0
84,1,0,0,48,1,0,0,20,0,0,0,1
85,1,0,1,25,1,1,1,96,1,1,0,0
86,1,0,0,52,1,0,0,105,1,0,1,0
87,1,0,0,12,1,0,0,82,1,0,0,1
88,0,0,0,48,1,0,0,25,0,0,0,1
89,0,0,0,38,1,0,0,20,0,1,0,0
90,0,0,0,18,0,0,1,35,0,1,0,0
91,0,0,0,45,1,0,1,50,0,1,0,0
92,1,0,0,12,1,1,0,90,0,0,0,1
93,0,1,0,66,1,1,1,102,0,1,0,0
94,0,0,0,72,1,1,1,20,0,0,0,1
95,0,0,0,70,0,1,1,45,0,1,0,0
96,0,0,0,27,1,1,0,90,0,0,1,0
97,1,0,0,1,1,0,0,20,0,1,0,0
98,1,1,0,13,1,0,0,95,1,0,0,1
99,0,0,1,65,1,0,1,90,0,1,0,0
100,0,0,1,14,1,0,0,70,0,1,0,0
101,0,0,1,17,1,0,0,85,1,1,0,0
102,0,0,0,31,1,1,1,21,0,0,1,0
103,1,0,1,24,1,0,0,24,0,0,1,0
104,0,0,0,3,1,1,1,20,0,0,0,1
105,1,0,0,17,1,0,0,77,1,1,0,0
106,1,0,0,66,1,1,1,69,0,0,1,0
107,1,0,0,45,1,0,0,53,0,0,1,0
108,1,0,0,35,1,1,1,92,0,0,1,0
109,1,0,1,40,0,0,0,40,0,0,0,1
110,0,0,0,10,1,1,1,85,1,1,0,0
111,0,0,0,52,1,0,0,64,0,0,1,0
112,0,0,0,13,1,0,1,19,0,1,0,0
113,0,1,0,43,1,1,1,90,0,1,0,0
114,0,0,0,41,1,0,0,20,0,0,0,1
115,0,1,0,52,0,0,1,50,0,1,0,0
116,0,0,0,71,1,0,0,93,0,0,0,1
117,1,0,0,61,1,1,1,106,0,1,0,0
118,0,0,0,26,0,0,0,44,0,0,0,1
119,1,0,1,72,1,1,1,68,0,1,0,0
120,0,0,0,42,1,1,1,78,0,0,1,0
121,0,0,1,57,1,0,0,65,0,1,0,0
122,1,0,1,9,1,1,1,20,0,1,0,0
123,0,0,0,9,1,0,0,71,1,1,0,0
124,1,0,0,33,1,0,0,45,0,1,0,0
125,1,0,0,1,1,0,1,19,0,0,0,1
126,0,0,0,7,1,1,1,79,1,1,0,0
127,1,0,0,1,1,1,0,72,1,0,0,1
128,1,0,1,65,1,0,0,20,0,1,0,0
129,1,0,0,10,1,0,0,86,1,0,1,0
130,1,0,0,70,1,1,1,95,0,1,0,0
131,0,0,0,29,1,0,0,99,1,1,0,0
132,1,0,1,21,1,0,0,104,1,0,0,1
133,1,0,0,1,1,0,0,91,1,1,0,0
134,1,0,0,5,1,0,0,20,0,1,0,0
135,1,0,0,56,1,1,0,90,0,0,0,1
136,1,0,1,35,1,0,1,85,1,1,0,0
137,1,0,1,10,1,0,0,20,0,0,0,1
138,0,0,0,31,0,0,0,50,0,0,0,1
139,1,1,0,37,1,0,1,86,1,1,0,0
140,1,1,0,57,1,1,0,95,1,0,0,1
141,0,0,1,34,1,1,0,26,0,1,0,0
142,0,0,0,3,1,1,1,99,1,0,0,1
143,0,0,0,4,1,1,1,83,0,0,1,0
144,0,0,0,54,1,1,0,20,0,0,0,1
145,1,0,1,6,1,1,1,20,0,0,0,1
146,1,0,0,22,1,0,0,60,0,0,1,0
147,1,0,0,23,1,0,0,97,0,1,0,0
148,0,0,0,68,1,0,0,58,0,0,1,0
149,0,0,1,48,1,0,0,20,0,1,0,0
150,1,0,1,34,1,0,0,21,0,1,0,0
151,0,0,0,41,1,1,1,80,0,1,0,0
152,1,0,0,9,1,1,1,76,0,0,1,0
153,0,1,0,18,1,0,0,104,0,0,0,1
154,1,0,0,35,1,0,0,96,0,1,0,0
155,1,0,1,55,1,0,1,79,0,1,0,0
156,1,0,0,54,1,1,1,108,0,1,0,0
157,0,1,0,2,1,0,0,79,1,0,1,0
158,1,0,0,52,1,0,0,106,0,0,0,1
159,1,0,0,72,1,1,0,70,0,0,0,1
160,1,0,0,9,1,0,0,70,0,1,0,0
161,0,0,1,3,1,1,1,70,0,1,0,0
162,1,1,0,4,1,0,1,75,0,1,0,0
163,1,0,1,69,1,1,0,76,0,0,0,1
164,0,0,1,67,0,0,0,36,0,0,1,0
165,1,0,0,4,1,0,0,80,1,0,0,1
166,1,0,0,13,0,0,1,46,1,1,0,0
167,0,0,1,45,1,1,0,81,0,0,0,1
168,1,0,0,68,1,0,0,101,0,1,0,0
169,0,0,1,69,1,0,0,74,0,1,0,0
170,0,0,0,70,0,0,1,58,0,0,1,0
171,0,0,0,1,1,1,1,20,1,1,0,0
172,0,0,1,45,1,0,0,26,0,0,0,1
173,0,0,1,37,1,0,1,20,0,0,1,0
174,0,0,1,10,0,0,0,40,0,0,1,0
175,0,0,1,1,1,1,0,89,0,1,0,0
176,1,0,1,29,1,1,1,69,0,1,0,0
177,1,1,1,72,1,0,1,104,0,1,0,0
178,0,0,0,2,1,1,1,76,1,1,0,0
179,1,0,0,24,1,0,0,54,0,0,1,0
180,0,0,0,4,1,0,0,79,1,1,0,0
181,1,0,0,72,1,0,0,19,0,1,0,0
182,0,0,0,11,1,1,1,79,0,1,0,0
183,0,0,1,44,1,0,0,20,0,0,1,0
184,1,0,1,62,1,0,1,20,0,1,0,0
185,1,0,1,70,1,0,0,25,0,1,0,0
186,0,1,0,1,0,0,0,25,1,1,0,0
187,0,0,0,4,1,0,0,106,1,1,0,0
188,0,1,0,2,1,0,0,86,1,0,1,0
189,0,0,0,41,1,1,0,56,0,1,0,0
190,0,1,0,1,1,1,0,19,1,0,1,0
191,1,1,0,72,1,0,1,84,0,1,0,0
192,0,0,0,63,1,0,0,109,0,0,0,1
193,1,0,0,68,1,1,1,80,0,0,0,1
194,0,1,0,59,1,0,0,100,0,0,0,1
195,1,1,0,52,0,0,1,49,0,1,0,0
196,1,1,1,26,1,1,0,106,1,0,0,1
197,1,0,0,66,0,1,1,57,0,1,0,0
198,0,1,0,56,1,1,1,96,0,0,0,1
199,0,0,0,72,1,0,0,79,0,1,0,0
200,1,1,0,2,1,0,1,70,0,0,1,0
201,1,0,0,68,1,0,1,117,0,1,0,0
202,1,0,1,61,1,1,1,85,0,0,0,1
203,1,0,0,1,1,0,1,20,0,1,0,0
204,1,0,0,2,1,0,1,20,0,1,0,0
205,0,0,0,2,1,0,1,20,1,0,1,0
206,1,1,1,68,1,0,0,85,0,0,0,1
207,1,0,0,9,1,0,1,68,0,1,0,0
208,1,0,0,13,1,0,1,83,1,1,0,0
209,0,0,0,22,1,0,1,20,0,0,1,0
210,1,0,1,66,1,0,0,25,0,1,0,0
211,1,0,1,8,1,0,0,20,0,1,0,0
212,1,0,1,2,1,0,0,70,0,0,0,1
213,1,0,0,3,1,0,0,56,0,0,1,0
214,1,0,0,5,1,1,1,92,1,1,0,0
215,1,0,0,13,1,0,0,20,0,1,0,0
216,1,0,1,53,1,0,0,65,0,0,0,1
217,1,0,0,3,1,0,0,20,0,0,0,1
218,1,0,0,46,1,1,0,95,0,0,0,1
219,0,0,0,39,0,0,1,40,0,1,0,0
220,0,0,1,30,1,0,1,108,0,1,0,0
221,0,0,0,23,1,1,0,99,0,0,0,1
222,1,0,1,40,1,0,0,20,0,0,1,0
223,0,0,0,45,1,0,0,63,0,1,0,0
224,1,0,0,53,1,0,0,20,0,0,1,0
225,0,1,0,72,1,0,0,112,0,0,1,0
226,1,0,1,28,1,0,0,20,0,0,1,0
227,0,0,0,49,1,0,0,67,0,1,0,0
228,1,0,0,1,1,1,1,75,1,1,0,0
229,0,0,0,20,1,1,0,81,0,0,0,1
230,0,0,1,53,1,1,1,61,0,0,0,1
231,1,0,0,67,1,0,1,69,0,1,0,0
232,1,0,0,11,1,0,1,74,1,1,0,0
233,0,0,1,52,1,0,0,86,0,0,0,1
234,0,0,0,1,1,1,0,91,1,1,0,0
235,0,0,0,48,1,1,0,56,0,1,0,0
236,0,0,0,7,1,0,0,75,1,0,0,1
237,1,0,1,7,1,1,1,71,0,1,0,0
238,0,0,1,12,1,0,1,84,0,1,0,0
239,1,0,0,40,1,0,0,25,0,0,0,1
240,1,0,0,55,1,1,0,78,0,0,0,1
241,0,0,0,20,1,1,1,20,0,0,0,1
242,1,0,0,1,0,0,0,36,1,0,1,0
243,0,0,1,72,1,0,1,84,0,1,0,0
244,1,0,0,63,1,0,0,110,0,1,0,0
245,0,0,0,70,0,0,1,65,0,1,0,0
246,0,0,0,8,1,1,0,64,0,0,1,0
247,0,0,0,1,1,0,1,46,1,1,0,0
248,1,0,0,16,1,0,0,20,0,1,0,0
249,0,0,1,11,0,1,1,25,0,0,1,0
250,1,0,0,11,1,0,1,75,1,0,1,0
251,0,0,1,41,1,0,1,88,0,1,0,0
252,1,0,1,14,1,0,0,76,0,1,0,0
253,0,0,0,61,1,1,0,89,0,0,1,0
254,0,0,0,20,1,0,0,89,0,1,0,0
255,0,0,0,47,1,0,0,106,1,0,0,1
256,1,0,1,2,1,1,1,60,0,0,0,1
257,1,0,1,41,1,1,1,60,0,0,1,0
258,0,0,0,72,1,0,0,25,0,1,0,0
259,0,0,1,72,1,0,0,80,0,1,0,0
260,0,0,0,46,1,0,0,96,0,1,0,0
261,1,0,0,1,1,1,1,20,1,1,0,0
262,1,0,1,29,0,1,1,45,0,1,0,0
263,0,0,0,37,1,0,0,100,0,0,0,1
264,1,0,0,19,1,1,1,62,0,0,1,0
265,0,0,1,49,1,1,0,78,0,0,0,1
266,1,0,1,13,1,1,0,44,0,0,0,1
267,0,0,0,22,1,0,1,50,0,1,0,0
268,0,1,0,53,1,0,0,97,0,0,0,1
269,1,0,0,24,1,1,0,50,1,0,0,1
270,0,0,0,37,1,0,1,20,0,1,0,0
271,1,0,1,6,1,0,0,55,1,0,0,1
272,0,0,0,7,1,0,0,80,1,1,0,0
273,0,0,1,12,1,1,1,20,1,1,0,0
274,0,0,0,71,1,0,1,25,0,1,0,0
275,1,0,1,26,1,1,1,82,0,1,0,0
276,0,0,0,6,1,1,1,46,0,1,0,0
277,1,0,0,32,1,0,0,88,0,1,0,0
278,0,0,0,47,1,0,0,59,0,1,0,0
279,0,0,1,31,1,0,0,21,0,1,0,0
280,0,0,1,52,1,0,0,84,0,1,0,0
281,0,0,0,60,0,0,0,61,0,1,0,0
282,0,0,0,48,1,1,0,66,0,1,0,0
283,1,0,0,45,1,1,0,19,0,1,0,0
284,0,0,0,39,1,0,1,80,1,1,0,0
285,0,1,0,1,1,1,1,86,1,0,1,0
286,1,0,0,1,1,0,0,70,1,1,0,0
287,0,0,0,6,1,0,1,79,1,1,0,0
288,1,0,0,9,1,0,1,76,0,1,0,0
289,1,0,1,72,1,0,0,114,0,1,0,0
290,1,1,0,71,0,1,1,52,0,1,0,0
291,1,0,1,71,1,0,0,20,0,0,1,0
292,0,0,0,64,1,0,1,95,0,0,1,0
293,0,0,1,28,1,0,1,20,0,1,0,0
294,0,0,1,70,1,0,0,115,0,1,0,0
295,1,1,0,39,1,0,0,96,1,1,0,0
296,0,0,1,16,1,0,1,20,0,0,0,1
297,1,1,0,66,1,1,1,111,1,1,0,0
298,0,1,0,21,1,1,0,95,0,1,0,0
299,0,0,0,44,1,0,1,85,1,1,0,0
300,0,1,0,54,1,0,0,99,0,0,1,0
301,1,0,0,4,1,1,1,57,0,1,0,0
302,0,1,0,60,1,0,1,110,0,1,0,0
303,1,0,0,26,1,0,0,92,0,0,0,1
304,0,0,1,24,1,1,1,79,0,1,0,0
305,1,0,1,53,1,1,0,19,0,0,0,1
306,0,0,1,46,1,1,1,19,0,1,0,0
307,0,0,1,56,1,0,0,89,0,0,0,1
308,0,0,0,7,1,1,1,59,0,1,0,0
309,0,0,0,1,1,1,0,86,1,0,1,0
310,1,0,0,1,1,0,0,46,0,1,0,0
311,1,0,0,60,1,0,1,20,0,1,0,0
312,1,0,0,61,1,1,1,21,0,0,0,1
313,0,0,0,42,0,0,1,34,1,1,0,0
314,1,0,0,27,1,0,1,20,0,1,0,0
315,0,0,1,9,1,1,1,85,1,0,1,0
316,0,0,0,72,1,0,0,20,0,0,0,1
317,0,0,0,23,1,0,0,20,0,0,1,0
318,0,1,0,47,1,0,1,95,1,1,0,0
319,0,1,0,54,1,1,1,19,0,1,0,0
320,1,1,0,2,1,1,0,96,0,0,1,0
321,1,0,0,38,0,0,0,60,0,0,0,1
322,0,1,0,47,1,0,0,100,0,1,0,0
323,1,0,0,22,1,0,0,56,0,0,1,0
324,1,0,0,2,1,0,0,91,0,0,0,1
325,0,0,1,72,1,1,1,79,0,1,0,0
326,1,1,0,58,0,0,1,45,1,1,0,0
327,1,0,1,69,1,0,1,79,0,1,0,0
328,1,0,0,18,1,0,0,70,0,1,0,0
329,0,0,1,55,1,1,1,20,0,1,0,0
330,0,0,0,46,1,0,0,101,0,0,0,1
331,1,0,0,5,1,0,0,19,0,0,1,0
332,0,0,0,4,0,1,1,34,1,0,1,0
333,1,1,0,5,1,1,1,90,1,1,0,0
334,0,0,1,65,1,1,1,61,0,1,0,0
335,1,0,0,35,1,1,0,21,0,0,1,0
336,0,1,0,45,1,1,1,97,0,0,0,1
337,0,0,0,2,1,1,0,20,0,0,0,1
338,0,0,1,22,1,0,1,80,0,1,0,0
339,1,0,1,70,1,1,1,69,0,1,0,0
340,0,0,1,30,1,0,0,66,0,1,0,0
341,1,0,0,61,1,1,0,108,0,0,0,1
342,0,0,0,29,1,1,0,20,0,1,0,0
343,1,0,0,61,1,0,0,106,1,0,1,0
344,1,0,1,25,1,0,0,90,1,0,1,0
345,1,0,0,71,1,1,1,113,0,1,0,0
346,0,0,0,1,0,0,1,35,0,1,0,0
347,0,0,1,62,1,0,0,70,0,0,0,1
348,1,0,0,64,1,0,0,74,0,1,0,0
349,0,0,1,64,1,0,1,91,0,0,1,0
350,1,1,0,29,1,1,0,84,0,0,0,1
351,0,0,0,2,1,0,0,71,1,0,1,0
352,1,0,0,1,1,0,1,20,0,1,0,0
353,1,0,0,1,1,1,1,51,1,1,0,0
354,0,0,1,45,1,0,0,25,0,1,0,0
355,1,0,0,66,1,0,1,114,0,1,0,0
356,0,0,0,54,1,1,0,107,1,1,0,0
357,0,0,1,70,1,1,1,80,0,0,0,1
358,1,1,0,37,1,0,0,92,1,1,0,0
359,1,1,0,3,1,1,1,80,1,0,1,0
360,1,0,1,23,1,0,0,55,0,1,0,0
361,0,1,0,60,1,0,1,100,0,0,0,1
362,0,0,0,35,0,0,0,33,0,0,1,0
363,0,0,1,27,1,0,0,74,0,0,0,1
364,0,0,1,24,0,0,1,52,0,1,0,0
365,0,1,0,2,1,0,1,94,1,1,0,0
366,1,0,0,67,1,0,0,91,1,1,0,0
367,1,0,0,2,1,0,0,48,1,1,0,0
368,0,0,0,1,1,1,1,20,1,0,1,0
369,0,0,1,1,1,1,1,79,1,0,0,1
370,0,0,0,14,1,0,0,54,0,0,1,0
371,1,1,0,38,1,1,1,95,0,1,0,0
372,0,0,0,1,1,0,0,70,1,0,0,1
373,0,0,0,2,1,1,1,70,0,0,1,0
374,0,0,0,12,1,0,1,79,1,1,0,0
375,1,0,1,31,1,1,0,98,0,0,1,0
376,1,0,1,35,1,0,0,72,0,1,0,0
377,1,1,0,72,1,1,1,110,0,1,0,0
378,0,0,1,8,1,1,0,94,1,0,0,1
379,1,0,0,10,1,1,1,98,1,0,1,0
380,0,1,0,5,1,0,1,69,1,0,1,0
381,1,0,1,63,1,0,0,84,0,1,0,0
382,0,0,0,71,1,0,0,26,0,0,0,1
383,0,1,0,46,1,1,1,104,0,1,0,0
384,0,0,1,52,1,1,1,23,0,0,0,1
385,1,0,0,1,1,0,0,46,1,1,0,0
386,1,0,0,1,1,1,1,80,1,1,0,0
387,0,0,0,72,1,0,0,113,0,0,1,0
388,0,0,0,3,1,1,1,84,1,1,0,0
389,1,0,0,28,1,0,0,61,0,1,0,0
390,0,0,1,39,1,1,1,51,0,1,0,0
391,0,0,0,33,1,1,0,26,0,1,0,0
392,0,0,0,12,0,0,0,61,0,1,0,0
393,1,0,1,1,1,0,0,74,1,1,0,0
394,1,0,0,6,1,1,1,79,0,1,0,0
395,1,0,0,3,1,1,0,86,0,0,0,1
396,1,0,0,4,1,1,1,88,1,1,0,0
397,1,0,1,34,1,0,1,90,0,1,0,0
398,1,0,0,1,1,0,0,20,0,1,0,0
399,0,1,0,15,1,0,0,96,1,0,1,0
400,1,0,1,1,0,0,0,25,1,0,1,0
401,0,0,0,3,1,0,0,51,1,0,1,0
402,1,0,0,1,1,1,1,20,1,1,0,0
403,0,0,0,3,1,0,0,20,0,0,1,0
404,0,0,1,30,1,0,0,81,0,0,0,1
405,0,0,0,5,1,0,0,54,1,0,0,1
406,1,1,0,68,1,1,1,20,0,0,1,0
